turn,causal_score_effect_pts,critic_value_delta
396,3.125000,-0.170784
237,-71.875000,-1.215779
285,-87.500000,-1.389343
327,31.250000,-0.582146
363,31.250000,-0.482586
325,-12.500000,-0.278830
388,-6.250000,-0.368428
277,21.875000,-0.404346
230,-46.875000,-0.868299
240,-12.500000,-0.777603
379,0.000000,-0.383517
376,-6.250000,-1.039245
219,37.500000,-0.576411
380,43.750000,-0.494792
231,56.250000,-1.018204
231,0.000000,-0.854962
243,31.250000,-0.996764
302,12.500000,-0.983652
361,34.375000,-0.620653
232,0.000000,0.001653
287,-12.500000,-1.007421
396,0.000000,-1.034645
333,0.000000,-0.273056
225,-25.000000,-0.757455
238,-62.500000,-0.837392
385,59.375000,-0.193311
265,34.375000,-0.612518
345,0.000000,-0.526461
324,43.750000,-0.568644
229,-18.750000,-1.013893
330,46.875000,-0.311635
277,-21.875000,-1.113467
394,68.750000,-0.364403
389,50.000000,-0.666988
362,-31.250000,-0.500014
335,0.000000,-1.070648
301,0.000000,-0.125777
231,-75.000000,-1.144067
222,-9.375000,-1.227253
271,31.250000,-0.071507
374,34.375000,-0.327145
374,37.500000,-0.098865
217,53.125000,-0.330096
392,-50.000000,-0.721747
371,-6.250000,-0.263972
319,-6.250000,-1.380926
324,0.000000,-0.411853
269,31.250000,-0.597469
380,50.000000,-0.616947
387,-68.750000,-0.869817
293,34.375000,-0.674477
324,-6.250000,-0.638059
365,-18.750000,-1.410474
323,25.000000,-0.823208
243,0.000000,-0.124418
328,0.000000,-0.320943
278,25.000000,-0.652465
321,43.750000,-0.679397
286,-6.250000,-0.472223
226,6.250000,-0.966152
326,-75.000000,-1.082683
326,-6.250000,-0.706078
371,-81.250000,-1.024899
235,9.375000,-0.980874
235,-25.000000,-0.727044
388,-25.000000,-1.172914
293,25.000000,-0.239350
298,-68.750000,-1.324328
300,-6.250000,-0.716732
368,0.000000,-0.027809
341,-6.250000,-0.181858
217,62.500000,-0.450081
362,15.625000,-0.515471
271,53.125000,-0.734130
341,18.750000,-0.369611
253,0.000000,-0.092541
390,0.000000,-0.226555
343,50.000000,-0.515999
347,18.750000,-0.612782
283,56.250000,-0.539386
331,-62.500000,-0.337738
325,-75.000000,-1.294819
374,-9.375000,-0.742291
