timestamp,gpu_util_pct,memory_util_pct,memory_used_mib,memory_total_mib,power_w,sm_clock_mhz
2026/08/01 23:33:28.419, 0, 0, 0, 81559, 70.46, 345
2026/08/01 23:33:29.419, 0, 0, 0, 81559, 70.37, 345
2026/08/01 23:33:30.419, 0, 0, 0, 81559, 70.33, 345
2026/08/01 23:33:31.420, 0, 0, 0, 81559, 70.28, 345
2026/08/01 23:33:32.420, 0, 0, 0, 81559, 70.21, 345
2026/08/01 23:33:33.420, 0, 0, 0, 81559, 70.15, 345
2026/08/01 23:33:34.421, 0, 0, 0, 81559, 70.08, 345
2026/08/01 23:33:35.421, 0, 0, 0, 81559, 70.02, 345
2026/08/01 23:33:36.421, 0, 0, 0, 81559, 70.24, 345
2026/08/01 23:33:37.422, 0, 0, 0, 81559, 70.23, 345
2026/08/01 23:33:38.422, 0, 0, 0, 81559, 70.20, 345
2026/08/01 23:33:39.422, 0, 0, 0, 81559, 70.16, 345
2026/08/01 23:33:40.422, 0, 0, 0, 81559, 70.07, 345
2026/08/01 23:33:41.423, 0, 0, 0, 81559, 70.00, 345
2026/08/01 23:33:42.423, 0, 0, 0, 81559, 69.96, 345
2026/08/01 23:33:43.424, 0, 0, 0, 81559, 69.95, 345
2026/08/01 23:33:44.424, 0, 0, 0, 81559, 69.91, 345
2026/08/01 23:33:45.424, 0, 0, 0, 81559, 69.86, 345
2026/08/01 23:33:46.424, 0, 0, 0, 81559, 69.81, 345
2026/08/01 23:33:47.425, 0, 0, 0, 81559, 69.75, 345
2026/08/01 23:33:48.425, 0, 0, 0, 81559, 69.72, 345
2026/08/01 23:33:49.425, 0, 0, 0, 81559, 69.70, 345
2026/08/01 23:33:50.425, 0, 0, 0, 81559, 69.61, 345
2026/08/01 23:33:51.426, 0, 0, 0, 81559, 69.61, 345
2026/08/01 23:33:52.426, 0, 0, 0, 81559, 69.50, 345
2026/08/01 23:33:53.426, 0, 0, 0, 81559, 69.51, 345
2026/08/01 23:33:54.426, 0, 0, 0, 81559, 69.46, 345
2026/08/01 23:33:55.427, 0, 0, 0, 81559, 69.46, 345
2026/08/01 23:33:56.427, 0, 0, 0, 81559, 69.45, 345
2026/08/01 23:33:57.427, 0, 0, 0, 81559, 69.39, 345
2026/08/01 23:33:58.428, 0, 0, 0, 81559, 69.34, 345
2026/08/01 23:33:59.428, 0, 0, 0, 81559, 69.31, 345
2026/08/01 23:34:00.428, 0, 0, 0, 81559, 69.28, 345
2026/08/01 23:34:01.429, 0, 0, 0, 81559, 69.28, 345
2026/08/01 23:34:02.429, 0, 0, 0, 81559, 69.24, 345
2026/08/01 23:34:03.429, 0, 0, 0, 81559, 69.22, 345
2026/08/01 23:34:04.430, 0, 0, 0, 81559, 69.14, 345
2026/08/01 23:34:05.430, 0, 0, 0, 81559, 69.17, 345
2026/08/01 23:34:06.430, 0, 0, 0, 81559, 69.11, 345
2026/08/01 23:34:07.431, 0, 0, 0, 81559, 69.11, 345
2026/08/01 23:34:08.431, 0, 0, 0, 81559, 69.09, 345
2026/08/01 23:34:09.431, 0, 0, 0, 81559, 69.07, 345
2026/08/01 23:34:10.431, 0, 0, 0, 81559, 69.00, 345
2026/08/01 23:34:11.432, 0, 0, 0, 81559, 69.00, 345
