experiment,a,b,wins,losses,draws,games,score,score_ci95_low,score_ci95_high,paired_score_std,evaluation_seconds,behavior_a_actions,behavior_a_attack_moves,behavior_a_build_opportunity_steps,behavior_a_builds,behavior_a_completed_games,behavior_a_dithers,behavior_a_expansion_moves,behavior_a_game_length_sum,behavior_a_games_with_build,behavior_a_games_with_build_opportunity,behavior_a_games_with_successful_build,behavior_a_half_moves,behavior_a_moves,behavior_a_moves_after_move,behavior_a_passes,behavior_a_reinforce_moves,behavior_a_successful_builds,behavior_a_terminal_army_margin_sum,behavior_a_terminal_land_margin_sum,behavior_b_actions,behavior_b_attack_moves,behavior_b_build_opportunity_steps,behavior_b_builds,behavior_b_completed_games,behavior_b_dithers,behavior_b_expansion_moves,behavior_b_game_length_sum,behavior_b_games_with_build,behavior_b_games_with_build_opportunity,behavior_b_games_with_successful_build,behavior_b_half_moves,behavior_b_moves,behavior_b_moves_after_move,behavior_b_passes,behavior_b_reinforce_moves,behavior_b_successful_builds,behavior_b_terminal_army_margin_sum,behavior_b_terminal_land_margin_sum
14k_19k_league,c15000_raw,c15000_ema,465.0,543.0,16.0,1024.0,0.4619140625,0.43484314816235975,0.48898497683764025,0.31252289144596807,53.528692653402686,567921.0,99603.0,171660.0,4254.0,1024.0,5405.0,79322.0,567921.0,905.0,1020.0,905.0,17631.0,538469.0,532754.0,25198.0,359544.0,4254.0,-39012.0,-12133.0,567921.0,99807.0,183892.0,4111.0,1024.0,4119.0,79652.0,567921.0,910.0,1017.0,910.0,16931.0,538770.0,533295.0,25040.0,359311.0,4111.0,39012.0,12133.0
14k_19k_league,c15000_raw,c16000_raw,531.0,466.0,27.0,1024.0,0.53173828125,0.5024158050934963,0.5610607574065037,0.3385162731664438,53.530397307127714,570278.0,101976.0,183992.0,4288.0,1024.0,5085.0,79536.0,570278.0,889.0,1019.0,889.0,18038.0,540811.0,535074.0,25179.0,359299.0,4288.0,62929.0,9453.0,570278.0,97574.0,187038.0,4338.0,1024.0,5988.0,77826.0,570278.0,881.0,1021.0,881.0,17610.0,540935.0,535247.0,25005.0,365535.0,4338.0,-62929.0,-9453.0
14k_19k_league,c15000_raw,c16000_ema,433.0,574.0,17.0,1024.0,0.43115234375,0.4023431603923548,0.4599615271076452,0.3325905128593889,53.54168473556638,579686.0,103528.0,172063.0,4286.0,1024.0,6959.0,78919.0,579686.0,903.0,1012.0,903.0,17997.0,550193.0,544443.0,25207.0,367746.0,4286.0,-51249.0,-19827.0,579686.0,102163.0,186105.0,4160.0,1024.0,6503.0,79418.0,579686.0,902.0,1018.0,902.0,17738.0,550456.0,544921.0,25070.0,368875.0,4160.0,51249.0,19827.0
14k_19k_league,c15000_raw,c17000_raw,508.0,495.0,21.0,1024.0,0.50634765625,0.4776898855288881,0.5350054269711119,0.330842514458572,53.561332983896136,570762.0,102840.0,172160.0,4578.0,1024.0,4406.0,78838.0,570762.0,894.0,1021.0,894.0,17382.0,541054.0,535055.0,25130.0,359376.0,4578.0,31211.0,3165.0,570762.0,101703.0,181671.0,4409.0,1024.0,4354.0,79810.0,570762.0,897.0,1022.0,897.0,22529.0,541363.0,535647.0,24990.0,359850.0,4409.0,-31211.0,-3165.0
14k_19k_league,c15000_raw,c17000_ema,454.0,553.0,17.0,1024.0,0.45166015625,0.42304736399360404,0.48027294850639596,0.33032325605191065,53.53539426997304,572281.0,102748.0,170879.0,4271.0,1024.0,5106.0,78967.0,572281.0,882.0,1021.0,882.0,17534.0,542842.0,537109.0,25168.0,361127.0,4271.0,-47231.0,-14938.0,572281.0,102034.0,184898.0,4242.0,1024.0,4606.0,79087.0,572281.0,895.0,1019.0,895.0,17226.0,543033.0,537456.0,25006.0,361912.0,4242.0,47231.0,14938.0
14k_19k_league,c15000_raw,c18000_raw,525.0,468.0,31.0,1024.0,0.52783203125,0.49956063685594815,0.5561034256440519,0.32638195411646415,53.522583432495594,590625.0,104728.0,184079.0,4585.0,1024.0,6661.0,79112.0,590625.0,887.0,1017.0,887.0,18619.0,560878.0,554841.0,25162.0,377038.0,4585.0,36228.0,9355.0,590625.0,102864.0,188097.0,4511.0,1024.0,5871.0,80167.0,590625.0,898.0,1018.0,898.0,15285.0,560713.0,554701.0,25401.0,377682.0,4511.0,-36228.0,-9355.0
14k_19k_league,c15000_raw,c18000_ema,411.0,597.0,16.0,1024.0,0.4091796875,0.38084720283337636,0.43751217216662364,0.3270872169083012,53.52605791203678,583068.0,103644.0,178065.0,4410.0,1024.0,5194.0,79293.0,583068.0,901.0,1018.0,901.0,18066.0,553488.0,547623.0,25170.0,370551.0,4410.0,-116041.0,-28972.0,583068.0,103813.0,189755.0,4406.0,1024.0,4608.0,80435.0,583068.0,905.0,1017.0,905.0,17590.0,553595.0,547810.0,25067.0,369347.0,4406.0,116041.0,28972.0
14k_19k_league,c15000_raw,c19000_raw,474.0,535.0,15.0,1024.0,0.47021484375,0.442153545448659,0.498276142051341,0.32395647865757987,53.53923589363694,608296.0,107736.0,195334.0,4781.0,1024.0,6457.0,80114.0,608296.0,927.0,1021.0,927.0,18003.0,578387.0,572174.0,25128.0,390537.0,4781.0,-61167.0,-10588.0,608296.0,106376.0,208376.0,4746.0,1024.0,5246.0,82113.0,608296.0,938.0,1020.0,938.0,22409.0,578263.0,571999.0,25287.0,389774.0,4746.0,61167.0,10588.0
14k_19k_league,c15000_raw,c19000_ema,429.0,581.0,14.0,1024.0,0.42578125,0.39705635964361286,0.45450614035638714,0.3316173838341454,53.54645976610482,578277.0,102010.0,173834.0,4446.0,1024.0,5066.0,79099.0,578277.0,904.0,1021.0,904.0,17730.0,548665.0,542768.0,25166.0,367556.0,4446.0,-88086.0,-23732.0,578277.0,101983.0,187753.0,4416.0,1024.0,4012.0,80582.0,578277.0,910.0,1018.0,910.0,17275.0,548700.0,542859.0,25161.0,366135.0,4416.0,88086.0,23732.0
14k_19k_league,c15000_ema,c16000_raw,541.0,460.0,23.0,1024.0,0.53955078125,0.5117114422943337,0.5673901202056663,0.3213940466824888,53.5318248141557,544583.0,93079.0,174831.0,3844.0,1024.0,3809.0,78442.0,544583.0,891.0,1016.0,891.0,16414.0,515654.0,510433.0,25085.0,344133.0,3844.0,33383.0,11352.0,544583.0,90394.0,169785.0,4064.0,1024.0,5138.0,76325.0,544583.0,884.0,1021.0,884.0,16535.0,515403.0,509916.0,25116.0,348684.0,4064.0,-33383.0,-11352.0
14k_19k_league,c15000_ema,c16000_ema,480.0,524.0,20.0,1024.0,0.478515625,0.45005752064175775,0.5069737293582423,0.328537446064123,53.53277554735541,572000.0,99173.0,179072.0,4134.0,1024.0,4405.0,79009.0,572000.0,901.0,1018.0,901.0,16606.0,542760.0,537220.0,25106.0,364578.0,4134.0,-66277.0,-8234.0,572000.0,99431.0,177801.0,4204.0,1024.0,3971.0,78681.0,572000.0,896.0,1019.0,896.0,17200.0,542662.0,537057.0,25134.0,364550.0,4204.0,66277.0,8234.0
14k_19k_league,c15000_ema,c17000_raw,551.0,458.0,15.0,1024.0,0.54541015625,0.5164434367622913,0.5743768757377087,0.3344092045467316,53.54376235418022,551481.0,96630.0,169185.0,4198.0,1024.0,3704.0,78872.0,551481.0,894.0,1016.0,894.0,16455.0,522268.0,516719.0,25015.0,346766.0,4198.0,47904.0,13422.0,551481.0,95672.0,165235.0,4185.0,1024.0,4312.0,79291.0,551481.0,906.0,1017.0,906.0,21756.0,522263.0,516728.0,25033.0,347300.0,4185.0,-47904.0,-13422.0
